NAME,TYPE,LOCATION,RESOURCE LINK
"Application Insights Smart Detection","Action group","Global","https://portal.azure.com#resource/subscriptions/e6076573-23a5-46a8-acef-7e22d264e5db/resourceGroups/rg-collisionspike-dev/providers/microsoft.insights/actiongroups/Application Insights Smart Detection"
"cespike-parser-ai-dev","Application Insights","UK South","https://portal.azure.com#resource/subscriptions/e6076573-23a5-46a8-acef-7e22d264e5db/resourceGroups/rg-collisionspike-dev/providers/Microsoft.Insights/components/cespike-parser-ai-dev"
"cespike-parser-dev-x7xt3d5ovhi7y","Function App","UK South","https://portal.azure.com#resource/subscriptions/e6076573-23a5-46a8-acef-7e22d264e5db/resourceGroups/rg-collisionspike-dev/providers/Microsoft.Web/sites/cespike-parser-dev-x7xt3d5ovhi7y"
"cespike-parser-law-dev","Log Analytics workspace","UK South","https://portal.azure.com#resource/subscriptions/e6076573-23a5-46a8-acef-7e22d264e5db/resourceGroups/rg-collisionspike-dev/providers/Microsoft.OperationalInsights/workspaces/cespike-parser-law-dev"
"cespike-parser-plan-dev","App Service plan","UK South","https://portal.azure.com#resource/subscriptions/e6076573-23a5-46a8-acef-7e22d264e5db/resourceGroups/rg-collisionspike-dev/providers/Microsoft.Web/serverFarms/cespike-parser-plan-dev"
"cespikestx7xt3d","Storage account","UK South","https://portal.azure.com#resource/subscriptions/e6076573-23a5-46a8-acef-7e22d264e5db/resourceGroups/rg-collisionspike-dev/providers/Microsoft.Storage/storageAccounts/cespikestx7xt3d"
"cespkdocintel-dev","Document intelligence","UK South","https://portal.azure.com#resource/subscriptions/e6076573-23a5-46a8-acef-7e22d264e5db/resourceGroups/rg-collisionspike-dev/providers/Microsoft.CognitiveServices/accounts/cespkdocintel-dev"
"cespkenrich-ai-gi62sd","Application Insights","UK South","https://portal.azure.com#resource/subscriptions/e6076573-23a5-46a8-acef-7e22d264e5db/resourceGroups/rg-collisionspike-dev/providers/Microsoft.Insights/components/cespkenrich-ai-gi62sd"
"cespkenrich-fn-gi62sd","Function App","UK South","https://portal.azure.com#resource/subscriptions/e6076573-23a5-46a8-acef-7e22d264e5db/resourceGroups/rg-collisionspike-dev/providers/Microsoft.Web/sites/cespkenrich-fn-gi62sd"
"cespkenrich-plan-gi62sd","App Service plan","UK South","https://portal.azure.com#resource/subscriptions/e6076573-23a5-46a8-acef-7e22d264e5db/resourceGroups/rg-collisionspike-dev/providers/Microsoft.Web/serverFarms/cespkenrich-plan-gi62sd"
"cespkenrichkvgi62sd","Key vault","UK South","https://portal.azure.com#resource/subscriptions/e6076573-23a5-46a8-acef-7e22d264e5db/resourceGroups/rg-collisionspike-dev/providers/Microsoft.KeyVault/vaults/cespkenrichkvgi62sd"
"cespkenrichstgi62sd","Storage account","UK South","https://portal.azure.com#resource/subscriptions/e6076573-23a5-46a8-acef-7e22d264e5db/resourceGroups/rg-collisionspike-dev/providers/Microsoft.Storage/storageAccounts/cespkenrichstgi62sd"
"cespkeva-ai-ufa3ci","Application Insights","UK South","https://portal.azure.com#resource/subscriptions/e6076573-23a5-46a8-acef-7e22d264e5db/resourceGroups/rg-collisionspike-dev/providers/Microsoft.Insights/components/cespkeva-ai-ufa3ci"
"cespkeva-fn-ufa3ci","Function App","UK South","https://portal.azure.com#resource/subscriptions/e6076573-23a5-46a8-acef-7e22d264e5db/resourceGroups/rg-collisionspike-dev/providers/Microsoft.Web/sites/cespkeva-fn-ufa3ci"
"cespkeva-law-ufa3ci","Log Analytics workspace","UK South","https://portal.azure.com#resource/subscriptions/e6076573-23a5-46a8-acef-7e22d264e5db/resourceGroups/rg-collisionspike-dev/providers/Microsoft.OperationalInsights/workspaces/cespkeva-law-ufa3ci"
"cespkeva-plan-ufa3ci","App Service plan","UK South","https://portal.azure.com#resource/subscriptions/e6076573-23a5-46a8-acef-7e22d264e5db/resourceGroups/rg-collisionspike-dev/providers/Microsoft.Web/serverFarms/cespkeva-plan-ufa3ci"
"cespkevakvufa3ci","Key vault","UK South","https://portal.azure.com#resource/subscriptions/e6076573-23a5-46a8-acef-7e22d264e5db/resourceGroups/rg-collisionspike-dev/providers/Microsoft.KeyVault/vaults/cespkevakvufa3ci"
"cespkeval-ai-6c6fxd","Application Insights","UK South","https://portal.azure.com#resource/subscriptions/e6076573-23a5-46a8-acef-7e22d264e5db/resourceGroups/rg-collisionspike-dev/providers/Microsoft.Insights/components/cespkeval-ai-6c6fxd"
"cespkeval-fn-6c6fxd","Function App","UK South","https://portal.azure.com#resource/subscriptions/e6076573-23a5-46a8-acef-7e22d264e5db/resourceGroups/rg-collisionspike-dev/providers/Microsoft.Web/sites/cespkeval-fn-6c6fxd"
"cespkeval-law-6c6fxd","Log Analytics workspace","UK South","https://portal.azure.com#resource/subscriptions/e6076573-23a5-46a8-acef-7e22d264e5db/resourceGroups/rg-collisionspike-dev/providers/Microsoft.OperationalInsights/workspaces/cespkeval-law-6c6fxd"
"cespkeval-plan-6c6fxd","App Service plan","UK South","https://portal.azure.com#resource/subscriptions/e6076573-23a5-46a8-acef-7e22d264e5db/resourceGroups/rg-collisionspike-dev/providers/Microsoft.Web/serverFarms/cespkeval-plan-6c6fxd"
"cespkevalst6c6fxd","Storage account","UK South","https://portal.azure.com#resource/subscriptions/e6076573-23a5-46a8-acef-7e22d264e5db/resourceGroups/rg-collisionspike-dev/providers/Microsoft.Storage/storageAccounts/cespkevalst6c6fxd"
"cespkevastufa3ci","Storage account","UK South","https://portal.azure.com#resource/subscriptions/e6076573-23a5-46a8-acef-7e22d264e5db/resourceGroups/rg-collisionspike-dev/providers/Microsoft.Storage/storageAccounts/cespkevastufa3ci"
"cespkevidstdev01","Storage account","UK South","https://portal.azure.com#resource/subscriptions/e6076573-23a5-46a8-acef-7e22d264e5db/resourceGroups/rg-collisionspike-dev/providers/Microsoft.Storage/storageAccounts/cespkevidstdev01"
"cespkocr-acrpull-id","Managed Identity","UK South","https://portal.azure.com#resource/subscriptions/e6076573-23a5-46a8-acef-7e22d264e5db/resourceGroups/rg-collisionspike-dev/providers/Microsoft.ManagedIdentity/userAssignedIdentities/cespkocr-acrpull-id"
"cespkocr-ai-dev","Application Insights","UK South","https://portal.azure.com#resource/subscriptions/e6076573-23a5-46a8-acef-7e22d264e5db/resourceGroups/rg-collisionspike-dev/providers/Microsoft.Insights/components/cespkocr-ai-dev"
"cespkocr-env-dev","Container Apps Environment","UK South","https://portal.azure.com#resource/subscriptions/e6076573-23a5-46a8-acef-7e22d264e5db/resourceGroups/rg-collisionspike-dev/providers/Microsoft.App/managedEnvironments/cespkocr-env-dev"
"cespkocr-fn-dev-glju3v","Function App","UK South","https://portal.azure.com#resource/subscriptions/e6076573-23a5-46a8-acef-7e22d264e5db/resourceGroups/rg-collisionspike-dev/providers/Microsoft.Web/sites/cespkocr-fn-dev-glju3v"
"cespkocr-law-dev","Log Analytics workspace","UK South","https://portal.azure.com#resource/subscriptions/e6076573-23a5-46a8-acef-7e22d264e5db/resourceGroups/rg-collisionspike-dev/providers/Microsoft.OperationalInsights/workspaces/cespkocr-law-dev"
"cespkocracraeee76","Container registry","UK South","https://portal.azure.com#resource/subscriptions/e6076573-23a5-46a8-acef-7e22d264e5db/resourceGroups/rg-collisionspike-dev/providers/Microsoft.ContainerRegistry/registries/cespkocracraeee76"
"cespkocrstglju3v","Storage account","UK South","https://portal.azure.com#resource/subscriptions/e6076573-23a5-46a8-acef-7e22d264e5db/resourceGroups/rg-collisionspike-dev/providers/Microsoft.Storage/storageAccounts/cespkocrstglju3v"